x y l s
290000.00 490000.00  0  0
290100.00 490000.00  0  1
290200.00 490000.00  0  2
290300.00 490000.00  0  3
290400.00 490000.00  0  4
290500.00 490000.00  0  5
290600.00 490000.00  0  6
290700.00 490000.00  0  7
290800.00 490000.00  0  8
290900.00 490000.00  0  9
291000.00 490000.00  0 10
291100.00 490000.00  0 11
291200.00 490000.00  0 12
291300.00 490000.00  0 13
291400.00 490000.00  0 14
291500.00 490000.00  0 15
291600.00 490000.00  0 16
291700.00 490000.00  0 17
291800.00 490000.00  0 18
291900.00 490000.00  0 19
292000.00 490000.00  0 20
292100.00 490000.00  0 21
292200.00 490000.00  0 22
292300.00 490000.00  0 23
292400.00 490000.00  0 24
292500.00 490000.00  0 25
292600.00 490000.00  0 26
292700.00 490000.00  0 27
292800.00 490000.00  0 28
292900.00 490000.00  0 29
293000.00 490000.00  0 30
293100.00 490000.00  0 31
293200.00 490000.00  0 32
293300.00 490000.00  0 33
293400.00 490000.00  0 34
293500.00 490000.00  0 35
293600.00 490000.00  0 36
293700.00 490000.00  0 37
293800.00 490000.00  0 38
293900.00 490000.00  0 39
294000.00 490000.00  0 40
294100.00 490000.00  0 41
294200.00 490000.00  0 42
294300.00 490000.00  0 43
294400.00 490000.00  0 44
294500.00 490000.00  0 45
294600.00 490000.00  0 46
294700.00 490000.00  0 47
294800.00 490000.00  0 48
294900.00 490000.00  0 49
295000.00 490000.00  0 50
295100.00 490000.00  0 51
295200.00 490000.00  0 52
295300.00 490000.00  0 53
295400.00 490000.00  0 54
295500.00 490000.00  0 55
295600.00 490000.00  0 56
295700.00 490000.00  0 57
295800.00 490000.00  0 58
295900.00 490000.00  0 59
296000.00 490000.00  0 60
296100.00 490000.00  0 61
296200.00 490000.00  0 62
296300.00 490000.00  0 63
296400.00 490000.00  0 64
296500.00 490000.00  0 65
296600.00 490000.00  0 66
296700.00 490000.00  0 67
296800.00 490000.00  0 68
296900.00 490000.00  0 69
297000.00 490000.00  0 70
297100.00 490000.00  0 71
297200.00 490000.00  0 72
297300.00 490000.00  0 73
297400.00 490000.00  0 74
297500.00 490000.00  0 75
297600.00 490000.00  0 76
297700.00 490000.00  0 77
297800.00 490000.00  0 78
297900.00 490000.00  0 79
298000.00 490000.00  0 80
298100.00 490000.00  0 81
298200.00 490000.00  0 82
298300.00 490000.00  0 83
298400.00 490000.00  0 84
298500.00 490000.00  0 85
298600.00 490000.00  0 86
298700.00 490000.00  0 87
298800.00 490000.00  0 88
298900.00 490000.00  0 89
299000.00 490000.00  0 90
299100.00 490000.00  0 91
299200.00 490000.00  0 92
299300.00 490000.00  0 93
299400.00 490000.00  0 94
299500.00 490000.00  0 95
299600.00 490000.00  0 96
299700.00 490000.00  0 97
299800.00 490000.00  0 98
299900.00 490000.00  0 99
300000.00 490000.00  0 100
300100.00 490000.00  0 101
300200.00 490000.00  0 102
300300.00 490000.00  0 103
300400.00 490000.00  0 104
300500.00 490000.00  0 105
300600.00 490000.00  0 106
300700.00 490000.00  0 107
300800.00 490000.00  0 108
300900.00 490000.00  0 109
301000.00 490000.00  0 110
301100.00 490000.00  0 111
301200.00 490000.00  0 112
301300.00 490000.00  0 113
301400.00 490000.00  0 114
301500.00 490000.00  0 115
301600.00 490000.00  0 116
301700.00 490000.00  0 117
301800.00 490000.00  0 118
301900.00 490000.00  0 119
302000.00 490000.00  0 120
302100.00 490000.00  0 121
302200.00 490000.00  0 122
302300.00 490000.00  0 123
302400.00 490000.00  0 124
302500.00 490000.00  0 125
302600.00 490000.00  0 126
302700.00 490000.00  0 127
302800.00 490000.00  0 128
302900.00 490000.00  0 129
303000.00 490000.00  0 130
303100.00 490000.00  0 131
303200.00 490000.00  0 132
303300.00 490000.00  0 133
303400.00 490000.00  0 134
303500.00 490000.00  0 135
303600.00 490000.00  0 136
303700.00 490000.00  0 137
303800.00 490000.00  0 138
303900.00 490000.00  0 139
304000.00 490000.00  0 140
304100.00 490000.00  0 141
304200.00 490000.00  0 142
304300.00 490000.00  0 143
304400.00 490000.00  0 144
304500.00 490000.00  0 145
304600.00 490000.00  0 146
304700.00 490000.00  0 147
304800.00 490000.00  0 148
304900.00 490000.00  0 149
305000.00 490000.00  0 150
305100.00 490000.00  0 151
305200.00 490000.00  0 152
305300.00 490000.00  0 153
305400.00 490000.00  0 154
305500.00 490000.00  0 155
305600.00 490000.00  0 156
305700.00 490000.00  0 157
305800.00 490000.00  0 158
305900.00 490000.00  0 159
306000.00 490000.00  0 160
306100.00 490000.00  0 161
306200.00 490000.00  0 162
306300.00 490000.00  0 163
306400.00 490000.00  0 164
306500.00 490000.00  0 165
306600.00 490000.00  0 166
306700.00 490000.00  0 167
306800.00 490000.00  0 168
306900.00 490000.00  0 169
307000.00 490000.00  0 170
307100.00 490000.00  0 171
307200.00 490000.00  0 172
307300.00 490000.00  0 173
307400.00 490000.00  0 174
307500.00 490000.00  0 175
307600.00 490000.00  0 176
307700.00 490000.00  0 177
307800.00 490000.00  0 178
307900.00 490000.00  0 179
308000.00 490000.00  0 180
308100.00 490000.00  0 181
308200.00 490000.00  0 182
308300.00 490000.00  0 183
308400.00 490000.00  0 184
308500.00 490000.00  0 185
308600.00 490000.00  0 186
308700.00 490000.00  0 187
308800.00 490000.00  0 188
308900.00 490000.00  0 189
309000.00 490000.00  0 190
309100.00 490000.00  0 191
309200.00 490000.00  0 192
309300.00 490000.00  0 193
309400.00 490000.00  0 194
309500.00 490000.00  0 195
309600.00 490000.00  0 196
309700.00 490000.00  0 197
309800.00 490000.00  0 198
309900.00 490000.00  0 199
310000.00 490000.00  0 200
310100.00 490000.00  0 201
310200.00 490000.00  0 202
310300.00 490000.00  0 203
